0|iata_code|1|name_eng|2|city_rus|3|country_rus
ALH|ALH|Albany|Albany|Олбани|Олбани|Австралия|Австралия
ALI|ALI|International|International|||США|США
ALJ|ALJ|Kortdoorn|Kortdoorn|Александер-Бей|Александер-Бей|ЮАР|ЮАР
ALK|ALK|Asela|Asela|Асела|Асела|Эфиопия|Эфиопия
ALL|ALL|Albenga|Albenga|Албенга|Албенга|Италия|Италия
ALM|ALM|Municipal|Municipal|Аламогордо|Аламогордо|США|США
ALN|ALN|Alton|Alton|||США|США
ALO|ALO|Waterloo|Waterloo|Ватерло|Ватерло|США|США
ALP|ALP|Nejrab|Nejrab|Алеппо|Алеппо|Сирия|Сирия
ALQ|ALQ|Federal|Federal|||Бразилия|Бразилия
ALR|ALR|Alexandra|Alexandra|Александра|Александра|Новая Зеландия|Новая Зеландия
ALS|ALS|Municipal|Municipal|Аламоса|Аламоса|США|США
ALT|ALT|Alenquer|Alenquer|||Бразилия|Бразилия
ALU|ALU|Alula|Alula|Алула|Алула|Сомали|Сомали
ALV|ALV|Andorra La Vella H/P|Andorra La Vella H/P|Андорра-ла-Велла|Андорра-ла-Велла|Андорра|Андорра
ALW|ALW|Walla Walla|Walla Walla|||США|США
ALX|ALX|Thomas C Russell Fld|Thomas C Russell Fld|||США|США
ALY|ALY|El Nohza|El Nohza|Александрия|Александрия|Египет|Египет
ALZ|ALZ|Alitak SPB|Alitak SPB|||США|США
AMA|AMA|Rick Husband Amarillo International|Rick Husband Amarillo International|||США|США
AMB|AMB|Ambilobe|Ambilobe|Амбилобе|Амбилобе|Мадагаскар|Мадагаскар
AMC|AMC|Am Timan|Am Timan|||Чад|Чад
AMD|AMD|Ahmedabad|Ahmedabad|Ахмедабад|Ахмедабад|Индия|Индия
AME|AME|Alto Molocue|Alto Molocue|Альто-Молокуэ|Альто-Молокуэ|Мозамбик|Мозамбик
AMF|AMF|Ama|Ama|Ама|Ама|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AMG|AMG|Amboin|Amboin|||Папуа - Новая Гвинея|Папуа - Новая Гвинея
AMH|AMH|Arba Mintch|Arba Mintch|Арба-Минч|Арба-Минч|Эфиопия|Эфиопия
AMI|AMI|Selaparang|Selaparang|||Индонезия|Индонезия
AMJ|AMJ|Almenara|Almenara|||Бразилия|Бразилия
AMK|AMK|Animas Airpark|Animas Airpark|Дуранго|Дуранго|США|США
AML|AML|Puerto Armuellas|Puerto Armuellas|||Панама|Панама
AMM|AMM|Queen Alia Intl|Queen Alia Intl|Амман|Амман|Иордания|Иордания
AMN|AMN|Gratiot Community|Gratiot Community|||США|США
AMO|AMO|Mao|Mao|Мао|Мао|Чад|Чад
AMP|AMP|Ampanihy|Ampanihy|Ампанихи|Ампанихи|Мадагаскар|Мадагаскар
AMQ|AMQ|Pattimura|Pattimura|Амбон|Амбон|Индонезия|Индонезия
AMR|AMR|Arno|Arno|Арно|Арно|Маршалловы острова|Маршалловы острова
AMS|AMS|Amsterdam-Schiphol|Amsterdam-Schiphol|Амстердам|Амстердам|Нидерланды|Нидерланды
AMT|AMT|Amata|Amata|||Австралия|Австралия
AMU|AMU|Amanab|Amanab|Аманаб|Аманаб|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AMV|AMV|Amderma|Amderma|Амдерма|Амдерма|Россия|Россия
AMW|AMW|Ames|Ames|||США|США
AMX|AMX|Ammaroo|Ammaroo|||Австралия|Австралия
AMY|AMY|Ambatomainty|Ambatomainty|Амбатомаинти|Амбатомаинти|Мадагаскар|Мадагаскар
